Number of Threads;		Steps;		Time;		Diff;		Comp PI;
8;		1;		0.001000;		0.05840734641020706000;		3.20000000000000000000;
8;		10;		0.001000;		0.00083333141130559340;		3.14242598500109870000;
8;		100;		0.000000;		0.00000833333333138953;		3.14160098692312450000;
8;		1000;		0.001000;		0.00000008333333356703;		3.14159273692312670000;
8;		10000;		0.001000;		0.00000000083333295819;		3.14159265442312600000;
8;		100000;		0.003000;		0.00000000000833200176;		3.14159265359812500000;
8;		1000000;		0.014000;		0.00000000000007815970;		3.14159265358987130000;
8;		10000000;		0.015000;		0.00000000000001021405;		3.14159265358980330000;
8;		100000000;		0.047000;		0.00000000000002264855;		3.14159265358981580000;
8;		1000000000;		0.357000;		0.00000000000002442491;		3.14159265358976870000;
8;		10000000000;		3.472000;		0.00000000000010214052;		3.14159265358969100000;
8;		100000000000;		34.819000;		0.00000000000436095604;		3.14159265359415400000;
