Number of Threads;		Steps;		Time;		Diff;		Comp PI;
4;		1;		0.000000;		0.05840734641020706000;		3.20000000000000000000;
4;		10;		0.001000;		0.00083333141130470520;		3.14242598500109800000;
4;		100;		0.000000;		0.00000833333333138953;		3.14160098692312450000;
4;		1000;		0.001000;		0.00000008333333445520;		3.14159273692312760000;
4;		10000;		0.001000;		0.00000000083333073775;		3.14159265442312400000;
4;		100000;		0.002000;		0.00000000000833377811;		3.14159265359812700000;
4;		1000000;		0.006000;		0.00000000000008260059;		3.14159265358987570000;
4;		10000000;		0.011000;		0.00000000000012345680;		3.14159265358966970000;
4;		100000000;		0.073000;		0.00000000000011057821;		3.14159265358968250000;
4;		1000000000;		0.675000;		0.00000000000002797762;		3.14159265358982100000;
4;		10000000000;		6.761000;		0.00000000000021627145;		3.14159265358957700000;
4;		100000000000;		67.522000;		0.00000000000213518092;		3.14159265358765800000;
