Number of Threads;		Steps;		Time;		Diff;		Comp PI;
24;		1;		0.002000;		0.05840734641020706000;		3.20000000000000000000;
24;		10;		0.001000;		0.00083333141130559340;		3.14242598500109870000;
24;		100;		0.001000;		0.00000833333333050135;		3.14160098692312360000;
24;		1000;		0.002000;		0.00000008333333356703;		3.14159273692312670000;
24;		10000;		0.001000;		0.00000000083333295819;		3.14159265442312600000;
24;		100000;		0.003000;		0.00000000000833288993;		3.14159265359812600000;
24;		1000000;		0.016000;		0.00000000000008171241;		3.14159265358987500000;
24;		10000000;		0.028000;		0.13988448567360212000;		3.00170816791619100000;
24;		100000000;		0.040000;		0.00000000000001021405;		3.14159265358978300000;
24;		1000000000;		0.251000;		0.00000000000000088818;		3.14159265358979220000;
24;		10000000000;		2.466000;		0.00000000000002264855;		3.14159265358981580000;
24;		100000000000;		23.621000;		0.00000000000017319479;		3.14159265358996630000;
