Number of Threads;		Steps;		Time;		Diff;		Comp PI;
48;		1;		0.002000;		0.05840734641020706000;		3.20000000000000000000;
48;		10;		0.002000;		0.00083333141130559340;		3.14242598500109870000;
48;		100;		0.002000;		0.00000833333333183361;		3.14160098692312500000;
48;		1000;		0.003000;		0.00000008333333356703;		3.14159273692312670000;
48;		10000;		0.003000;		0.00000000083333473455;		3.14159265442312800000;
48;		100000;		0.003000;		0.00000000000833244584;		3.14159265359812560000;
48;		1000000;		0.016000;		0.00000000000008215650;		3.14159265358987530000;
48;		10000000;		0.032000;		0.00000000000000266454;		3.14159265358979600000;
48;		100000000;		0.049000;		0.00000000000003153033;		3.14159265358982460000;
48;		1000000000;		0.244000;		0.00000000000003064216;		3.14159265358982380000;
48;		10000000000;		2.139000;		0.00000000000000488498;		3.14159265358979800000;
48;		100000000000;		22.064000;		0.00000000000060573768;		3.14159265358918740000;
