Number of Threads;		Steps;		Time;		Diff;		Comp PI;
36;		1;		0.001000;		0.05840734641020706000;		3.20000000000000000000;
36;		10;		0.002000;		0.00083333141130559340;		3.14242598500109870000;
36;		100;		0.002000;		0.00000833333333183361;		3.14160098692312500000;
36;		1000;		0.001000;		0.00000008333333267885;		3.14159273692312600000;
36;		10000;		0.002000;		0.00000000083333340228;		3.14159265442312650000;
36;		100000;		0.003000;		0.00000000000833288993;		3.14159265359812600000;
36;		1000000;		0.016000;		0.00000000000008348877;		3.14159265358987660000;
36;		10000000;		0.023000;		0.00000000000000888178;		3.14159265358980200000;
36;		100000000;		0.038000;		0.09915321836077950000;		3.04243943522901360000;
36;		1000000000;		0.247000;		0.00000000000002797762;		3.14159265358982100000;
36;		10000000000;		2.278000;		0.00000000000001243450;		3.14159265358980560000;
36;		100000000000;		22.829000;		0.00000000000091882058;		3.14159265358887430000;
