Number of Threads;		Steps;		Time;		Diff;		Comp PI;
10;		1;		0.001000;		0.05840734641020706000;		3.20000000000000000000;
10;		10;		0.000000;		0.00083333141130559340;		3.14242598500109870000;
10;		100;		0.001000;		0.00000833333333138953;		3.14160098692312450000;
10;		1000;		0.001000;		0.00000008333333356703;		3.14159273692312670000;
10;		10000;		0.001000;		0.00000000083333340228;		3.14159265442312650000;
10;		100000;		0.002000;		0.00000000000832800495;		3.14159265359812100000;
10;		1000000;		0.025000;		0.00000000000008837375;		3.14159265358988150000;
10;		10000000;		0.014000;		0.00000000000000222045;		3.14159265358979100000;
10;		100000000;		0.043000;		0.00000000000016875390;		3.14159265358962440000;
10;		1000000000;		0.300000;		0.00000000000000044409;		3.14159265358979360000;
10;		10000000000;		2.838000;		0.00000000000001820766;		3.14159265358981130000;
10;		100000000000;		28.273000;		0.00000000000131672451;		3.14159265358847640000;
